length,id,rabel,,
28,2,0,,175
28,25,0,,4
29,26,0,,
26,35,0,,
31,43,0,,
29,51,0,,
30,61,0,,
30,73,0,,
27,163,0,,
40,172,0,,
24,176,0,,
22,191,0,,
24,209,0,,
24,224,0,,
25,229,0,,
28,236,0,,
22,252,0,,
25,270,0,,
29,276,0,,
23,277,0,,
30,296,0,,
34,308,0,,
40,309,0,,
39,314,0,,
35,407,0,,
35,409,0,,
38,420,0,,
35,435,0,,
32,455,0,,
45,457,0,,
44,472,0,,
54,474,0,,
41,483,0,,
42,494,0,,
44,510,0,,
39,514,0,,
51,532,0,,
50,540,0,,
53,552,0,,
49,553,0,,
40,585,0,,
28,592,0,,
31,597,0,,
30,600,0,,
27,608,0,,
26,610,0,,
28,613,0,,
25,638,0,,
30,721,0,,
38,722,0,,
30,731,0,,
30,733,0,,
39,777,0,,
43,785,0,,
43,793,0,,
39,795,0,,
30,816,0,,
29,821,0,,
31,836,0,,
29,837,0,,
33,854,0,,
32,858,0,,
29,867,0,,
33,872,0,,
50,882,0,,
30,891,0,,
45,903,0,,
34,911,0,,
35,927,0,,
39,932,0,,
44,934,0,,
42,960,0,,
27,975,0,,
30,982,0,,
29,990,0,,
34,1000,0,,
32,1002,0,,
39,1014,0,,
32,1028,0,,
51,1034,0,,
24,1045,0,,
22,1053,0,,
23,1069,0,,
21,1079,0,,
25,1090,0,,
29,1095,0,,
28,1107,0,,
26,1113,0,,
24,1131,0,,
26,1149,0,,
26,1151,0,,
24,1153,0,,
22,1169,0,,
21,1172,0,,
25,1173,0,,
45,1196,0,,
24,1202,0,,
27,1203,0,,
29,1210,0,,
29,1219,0,,
34,1263,0,,
35,1266,0,,
29,1269,0,,
31,1280,0,,
27,1290,0,,
26,1298,0,,
25,1302,0,,
28,1305,0,,
28,1322,0,,
30,1326,0,,
27,1345,0,,
30,1356,0,,
20,1362,0,,
22,1365,0,,
24,1377,0,,
23,1387,0,,
26,1405,0,,
24,1412,0,,
26,1419,0,,
22,1421,0,,
22,1449,0,,
24,1460,0,,
23,1464,0,,
23,1476,0,,
23,1489,0,,
23,1490,0,,
24,1493,0,,
26,1502,0,,
31,1524,0,,
34,1530,0,,
27,1545,0,,
30,1551,0,,
34,1569,0,,
37,1573,0,,
34,1583,0,,
31,1586,0,,
53,1615,0,,
32,1619,0,,
44,1639,0,,
49,1640,0,,
54,1644,0,,
48,1654,0,,
55,1658,0,,
50,1678,0,,
25,1695,0,,
27,1703,0,,
28,1707,0,,
29,1719,0,,
27,1726,0,,
30,1731,0,,
26,1741,0,,
39,1759,0,,
21,1763,0,,
24,1766,0,,
24,1780,0,,
22,1787,0,,
25,1807,0,,
23,1824,0,,
24,1838,0,,
22,1839,0,,
23,1850,0,,
29,1867,0,,
24,1876,0,,
25,1880,0,,
28,1883,0,,
30,1888,0,,
26,1901,0,,
27,1911,0,,
32,1923,0,,
25,1928,0,,
29,1937,0,,
35,1955,0,,
28,1961,0,,
31,1977,0,,
31,1985,0,,
36,1996,0,,
29,2002,0,,
29,2007,0,,
27,2012,0,,
31,2031,0,,
26,2043,0,,
33,2055,0,,
